id,name,slug,start_year,end_year,start_date,end_date,is_current
1,2008-09,1,2009,2009,2009-01-28,2009-06-28,0
2,2009-10,2,2009,2010,2009-11-01,2010-06-06,0
3,2010-11,3,2010,2011,2010-10-29,2011-05-24,0
4,2011-12,4,2011,2012,2011-11-19,2012-06-02,0
5,2012-13,8,2012,2013,2012-11-23,2013-06-01,0
6,2013-14,15,2013,2014,2013-11-09,2014-05-31,0
7,2014-15,20,2014,2015,2014-10-31,2015-05-30,0
8,2015-16,27,2015,2016,2015-11-02,2016-06-11,0
9,2016-17,34,2016,2017,2016-11-05,2017-06-17,0
10,2017-18,41,2017,2018,2017-11-04,2018-06-02,0
11,2018-19,47,2018,2019,2018-10-13,2019-06-08,0
12,2019-20,54,2019,2020,2019-10-12,2020-03-15,0
13,2020-21,59,2020,2021,2020-11-10,2021-05-27,0
14,2021-22,63,2021,2022,2021-10-23,2022-06-09,0
15,2022-23,71,2022,2023,2022-10-15,2023-06-10,0
16,2023-24,80,2023,2024,2023-10-13,2024-06-13,0
17,2024-25,88,2024,2025,2024-10-12,2025-06-18,0
18,2025-26,97,2025,2026,2025-10-18,2026-06-07,0